file_path,filename,emotion_id,emotion,emotion_idx,intensity,statement,repetition,actor,gender,spectrogram_path
data\raw\ravdess\Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,1,neutral,0,1,1,1,2,female,data\processed\spectrograms\spec_03-01-01-01-01-01-02.pt
data\raw\ravdess\Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,1,neutral,0,1,1,2,2,female,data\processed\spectrograms\spec_03-01-01-01-01-02-02.pt
data\raw\ravdess\Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,1,neutral,0,1,2,1,2,female,data\processed\spectrograms\spec_03-01-01-01-02-01-02.pt
data\raw\ravdess\Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,1,neutral,0,1,2,2,2,female,data\processed\spectrograms\spec_03-01-01-01-02-02-02.pt
data\raw\ravdess\Actor_02\03-01-03-01-01-01-02.wav,03-01-03-01-01-01-02.wav,3,happy,1,1,1,1,2,female,data\processed\spectrograms\spec_03-01-03-01-01-01-02.pt
data\raw\ravdess\Actor_02\03-01-03-01-01-02-02.wav,03-01-03-01-01-02-02.wav,3,happy,1,1,1,2,2,female,data\processed\spectrograms\spec_03-01-03-01-01-02-02.pt
data\raw\ravdess\Actor_02\03-01-03-01-02-01-02.wav,03-01-03-01-02-01-02.wav,3,happy,1,1,2,1,2,female,data\processed\spectrograms\spec_03-01-03-01-02-01-02.pt
data\raw\ravdess\Actor_02\03-01-03-01-02-02-02.wav,03-01-03-01-02-02-02.wav,3,happy,1,1,2,2,2,female,data\processed\spectrograms\spec_03-01-03-01-02-02-02.pt
data\raw\ravdess\Actor_02\03-01-03-02-01-01-02.wav,03-01-03-02-01-01-02.wav,3,happy,1,2,1,1,2,female,data\processed\spectrograms\spec_03-01-03-02-01-01-02.pt
data\raw\ravdess\Actor_02\03-01-03-02-01-02-02.wav,03-01-03-02-01-02-02.wav,3,happy,1,2,1,2,2,female,data\processed\spectrograms\spec_03-01-03-02-01-02-02.pt
data\raw\ravdess\Actor_02\03-01-03-02-02-01-02.wav,03-01-03-02-02-01-02.wav,3,happy,1,2,2,1,2,female,data\processed\spectrograms\spec_03-01-03-02-02-01-02.pt
data\raw\ravdess\Actor_02\03-01-03-02-02-02-02.wav,03-01-03-02-02-02-02.wav,3,happy,1,2,2,2,2,female,data\processed\spectrograms\spec_03-01-03-02-02-02-02.pt
